	not_found	CID
75	rituximab-pvvr	146171071
76	 menaquinone 6	146171072
77	hypericum perforatum whole	146171073
78	catumaxomab	146171074
79	trastuzumab deruxtecan	146171075
80	fludrocortisone	146171076
81	insulin nos	146171077
82	pidilizumab	146171078
83	emu oil	146171079
84	alnus rhombifolia pollen	146171080
85	infliximab-abda	146171081
86	quercus salicina stem	146171082
87	dtrmwxhs-12	146171083
88	bococizumab	146171084
89	cemiplimab-rwlc	146171085
90	senega extract	146171086
91	ferroglycine sulfate	146171087
92	chondroitin sulfate (bovine)	146171088
93	quercus palustris pollen	146171089
94	atlantic salmon oil	146171090
95	influenza a virus a/hong kong/4801/2014 x-263b (h3n2) antigen (formaldehyde inactivated)	146171091
96	antihemophilic factor human	146171092
97	apple cider vinegar	146171093
98	sodium stibogluconate anhydrous	146171094
99	duligotuzumab	146171095
100	racementhol	146171096
101	e. coli vaccines	146171097
102	opium	146171098
103	ferric oxide red	146171099
104	human blood vessel	146171100
105	influenza b virus b/phuket/3073/2013 antigen (propiolactone inactivated)	146171101
106	pinus ponderosa pollen	146171102
107	corn oil, oxidized	146171103
108	ferrous sulfate, dried	146171104
109	hypericum perforatum extract	146171105
110	mometasone	146171106
111	liquid petroleum	146171107
112	rumex acetosa leaf	146171108
113	meningococcal polysaccharide vaccine c	146171109
114	gadopentetic acid	146171110
115	aglatimagene besadenovec	146171111
116	poliovirus sabin type 1 live antigen	146171112
117	pembrolizumab	146171113
118	gotu kola	146171114
119	poliovirus sabin type 2 live antigen	146171115
120	galphimia glauca flowering top	146171116
121	bosentan anhydrous	146171117
122	poliovirus type 1 antigen (formaldehyde inactivated)	146171118
123	holcus lanatus pollen	146171119
124	ganitumab	146171120
125	influenza b virus b/hubei-wujiagang/158/2009 bx-39 antigen (propiolactone inactivated)	146171121
126	anise oil	146171122
127	.alpha.-tocopherol calcium succinate, d-	146171123
128	dactylis glomerata pollen	146171124
129	soybean oil	146171125
130	parachlorophenol camphorated	146171126
131	ferumoxides non-stoichiometric magnetite	146171127
132	iodophor	146171128
133	romiplostim	146171129
134	argan oil	146171130
135	ferrous asparto glycinate	146171131
136	phenylmercury borate	146171132
137	lolium perenne pollen	146171133
138	margarine	146171134
139	incadronate disodium	146171135
140	inolimomab	146171136
141	corn	146171137
142	gonadotrophin, chorionic	146171138
143	anguilla rostrata blood serum	146171139
144	avocado	146171140
145	istiratumab	146171141
146	claviceps purpurea sclerotium	146171142
147	thrombopoietin	146171143
148	colestipol hydrochloride	146171144
149	andecaliximab	146171145
150	viscum album leaf	146171146
151	pegpleranib	146171147
152	peanut	146171148
153	acutobin	146171149
154	codeine phosphate anhydrous	146171150
155	streptodornase	146171151
156	pimpinella anisum whole	146171152
157	calcium silicate	146171153
158	hyaluronate sodium	146171154
159	influenza b virus b/phuket/3073/2013 recombinant hemagglutinin antigen	146171155
160	talimogene laherparepvec	146171156
161	alfalfa	146171157
162	arginine-gamma-hydroxybutyrate	146171158
163	trastuzumab	146171159
164	tagraxofusp-erzs	146171160
165	human rotavirus a type g6p1a(8) strain wi79 live antigen	146171161
166	onabotulinumtoxina	146171162
167	cannabis sativa subsp. indica top	146171163
168	botulinum toxin nos	146171164
169	glucose oxidase	146171165
170	polyaminopropyl biguanide	146171166
171	luteinizing hormone	146171167
172	ontuxizumab	146171168
173	red yeast	146171169
174	estrogens	146171170
175	isatis tinctoria root	146171171
176	betula nigra pollen	146171172
177	streptococcus pyogenes	146171173
178	rumex acetosella pollen	146171174
179	allergenic extract- cockroach periplaneta americana	146171175
180	conatumumab	146171176
181	clostridium butyricum spores strain m-55	146171177
182	rosemary	146171178
183	calfactant	146171179
184	micafungin	146171180
185	cemiplimab	146171181
186	solifenacin	146171182
187	candida alb	146171183
188	isothiazolinone	146171184
189	sage	146171185
190	human papillomavirus type 18 l1 capsid protein residues 2-472 antigen	146171186
191	resorcinol and sulfur	146171187
192	echinacea, unspecified	146171188
193	lolium perenne	146171189
194	carbasalate	146171190
195	alcuronium	146171191
196	cinnamon bark oil	146171192
197	neisseria meningitidis serogroup b recombinant lp2086 b01 protein variant antigen	146171193
198	tanezumab	146171194
199	taraxacum officinale root	146171195
200	codrituzumab	146171196
201	high density polyethylene	146171197
202	cat^s claw	146171198
203	vanutide cridificar	146171199
204	pegfilgrastim-bmez	146171200
205	vopratelimab	146171201
206	diannexin	146171202
207	collagenase clostridium histolyticum	146171203
208	tamarind	146171204
209	melaleuca quinquenervia pollen	146171205
210	thyme	146171206
211	brentuximab vedotin	146171207
212	curcuma xanthorrhiza root extract	146171208
213	betula pendula pollen	146171209
214	 dihydrocodeine phosphate 	146171210
215	 metamizole sodium	146171211
216	cadexomer iodine	146171212
217	clove	146171213
218	crotalidae polyvalent immune fab (ovine)	146171214
219	belladonna leaf	146171215
220	eschscholzia californica	146171216
221	salsola kali pollen	146171217
222	onasemnogene abeparvovec	146171218
223	burosumab-twza	146171219
224	tilia americana pollen	146171220
225	cresol	146171221
226	vanucizumab	146171222
227	mucor plumb	146171223
228	resin	146171224
229	human c1-esterase inhibitor	146171225
230	serenoa repens whole	146171226
231	insulin purified pork	146171227
232	liposyn (r) intravenous fat emulsion	146171228
233	selicrelumab	146171229
234	pancrelipase amylase	146171230
235	iodine solution, strong	146171231
236	ferric polysaccharide complex	146171232
237	device	146171233
238	interferon alfa-n1	146171234
239	ibritumomab tiuxetan	146171235
240	carboprost	146171236
241	bismuth oxide	146171237
242	infliximab-dyyb	146171238
243	tenecteplase	146171239
244	viburnum opulus bark	146171240
245	parathyroid hormone	146171241
246	necitumumab	146171242
247	magnesium aspartate anhydrous	146171243
248	emactuzumab	146171244
249	licorice root extract	146171245
250	mucor plumbeus	146171246
251	influenza b virus b/brisbane/60/2008 antigen (propiolactone inactivated)	146171247
252	hemoglobin glutamer-250 (bovine)	146171248
253	insulin beef	146171249
254	alteplase	146171250
255	recombinant varicella zoster virus (vzv) glycoprotein e	146171251
256	bentonite	146171252
257	influenza b virus b/brisbane/60/2008 live(attenuated) antigen	146171253
258	diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed	146171254
259	hepatitis b virus subtype adw hbsag surface protein antigen	146171255
260	english walnut	146171256
261	reteplase	146171257
262	dextranomer	146171258
263	nimotuzumab	146171259
264	poliovirus vaccine live oral trivalent	146171260
265	cannabis sativa whole	146171261
266	wild cherry bark	146171262
267	neisseria meningitidis group c capsular polysaccharide antigen	146171263
268	influenza b virus b/phuket/30	146171264
269	drotrecogin alfa (activated)	146171265
270	stevia rebaudiuna leaf	146171266
271	lapine t-lymphocyte immune globulin	146171267
272	measles-rubella virus vaccine, live	146171268
273	hydrogenated soybean oil	146171269
274	elastase	146171270
275	risankizumab-rzaa	146171271
276	sterols	146171272
277	monteplase	146171273
278	rosemary oil	146171274
279	lowbush blueberry	146171275
280	corticosteroid nos	146171276
281	humulus lupulus whole	146171277
282	opium, powdered	146171278
283	bismuth subgallate	146171279
284	calcium phosphate, monobasic, anhydrous	146171280
285	influenza b virus b/phuket/3073/201	146171281
286	herbs	146171282
287	platycodon grandiflorus whole	146171283
288	molgramostim	146171284
289	interferon beta-1b	146171285
290	parabens	146171286
291	geranium	146171287
292	cirmtuzumab	146171288
293	thyroid, unspecified	146171289
294	measles-mumps-rubella virus vaccine, live	146171290
295	meningococcal polysaccharide vaccine, groups a, c, y,w135 combined	146171291
296	magnesium carbonate hydroxide	146171292
297	4-chloro-2,5-dimethoxy-n-(2-methoxybenzyl)phenethylamine	146171293
298	25-hydroxyergocalciferol-	146171294
299	magnesium peroxide	146171295
300	cocoa	146171296
301	sotatercept	146171297
302	influenza b virus b/phuket/3073/2013 ant	146171298
303	cranberry concentrate	146171299
304	dermatophagoides farinae	146171300
305	norepinephrine hydrochloride-c 11	146171301
306	thyroglobulin	146171302
307	conium maculatum flowering top	146171303
308	radium ra-223 dichloride	146171304
309	ravulizumab	146171305
310	lipoprotein outer surface a borrelia burgdorferi antigen	146171306
311	ixekizumab	146171307
312	borage oil	146171308
313	alcohol, x-ray exposed (1000 rad)	146171309
314	eleuthero	146171310
315	faricimab	146171311
316	black currant	146171312
317	capsicum oleoresin	146171313
318	amatuximab	146171314
319	thymus vulgaris whole	146171315
320	adalimumab-fkjp	146171316
321	noni fruit	146171317
322	juglans nigra pollen	146171318
323	sucralfate	146171319
324	ovine digoxin immune fab	146171320
325	lanoteplase	146171321
326	camphor (synthetic)	146171322
327	cultivated mushroom	146171323
328	oprelvekin	146171324
329	levothyroxine sodium	146171325
330	klebsiella pneumoniae	146171326
331	chlorella vulgaris	146171327
332	ambrosia psilostachya pollen	146171328
333	abituzumab	146171329
334	technetium tc-99m tilmanocept	146171330
335	bordetella pertussis fimbriae 2/3 antigen	146171331
336	albumin macroaggregated human serum	146171332
337	isoflavones soy	146171333
338	semuloparin sodium	146171334
339	heme iron polypeptide	146171335
340	viagenpumatucel-l	146171336
341	tisagenlecleucel-t	146171337
342	bcg vaccine	146171338
343	bifidobacterium spp.	146171339
344	horseradish	146171340
345	lirilumab	146171341
346	emicizumab	146171342
347	intrauterine device	146171343
348	interleukin 15, recombinant non-glycosylated	146171344
349	ustilago cynodontis	146171345
350	calcium cl	146171346
351	pyrilamine tannate	146171347
352	bismuth subsalicylate	146171348
353	rumex crispus pollen	146171349
354	bacillus anthracis immunoserum rabbit	146171350
355	polylactide, l-	146171351
356	amaranthus hybridus pollen	146171352
357	aluminum hydroxide 	146171353
358	influenza b virus b/massachusetts/2/2012 bx-51	146171354
359	plantago major	146171355
360	tuberculin, tine test	146171356
361	ulocuplumab	146171357
362	phleum pratense	146171358
363	levorphanol tartrate	146171359
364	heparin sodium	146171360
365	isatuximab	146171361
366	penicillium camemberti	146171362
367	influenza b virus b/wisconsin/1/2010) antigen (mdck cell derived, propiolactone inactivated)	146171363
368	moxetumomab pasudotox-tdfk	146171364
369	. alpha.-tocopherol acetate, d-	146171365
370	fibrinogen human	146171366
371	immune globulin antivenin nos	146171367
372	isotretinoin	146171368
373	indometacin meglumine	146171369
374	ambrosia acanthicarpa pollen	146171370
375	sodium metabisulfite	146171371
376	11-nor-9-carboxy-.delta-9-tetrahydrocannabinol	146171372
377	lysozyme	146171373
378	human cord blood hematopoietic progenitor cell	146171374
379	ambrosia bidentata pollen	146171375
380	human rotavirus a type g3p7(5) strain wi78 live antigen	146171376
381	grapefruit seed extract	146171377
382	influenza a virus a/california/7/2009(h1n1)-like hemagglutinin antigen (propiolactone inactivated)	146171378
383	niaouli oil	146171379
384	riboflavin 5^-phosphate sodium anhydrous	146171380
385	dextran sulfate sodium salt	146171381
386	sodium escinate	146171382
387	polysorbate	146171383
388	interferon beta	146171384
389	enfortumab vedotin	146171385
390	gallus gallus feather	146171386
391	linseed oil	146171387
392	tositumomab	146171388
393	methylprednisolone (eshap)	146171389
394	givosiran sodium	146171390
395	eucerin	146171391
396	linoleic acid, conjugated	146171392
397	.alpha.-tocopherol, dl-	146171393
398	chenopodium album pollen	146171394
399	dihydroxyaluminum aminoacetate anhydrous	146171395
400	esomeprazole	146171396
401	mucor racemosus	146171397
402	somatrogon	146171398
403	grape fruit	146171399
404	roots	146171400
405	wine grape	146171401
406	aureobasidium pullulans var. p	146171402
407	antihemophilic factor, human recombinant residues 743-1636 deleted	146171403
408	factor ix nos	146171404
409	panax notoginseng root	146171405
410	shrimp, unspecified	146171406
411	oregano leaf oil	146171407
412	houttuynia cordata whole	146171408
413	antihemophilic factor, pegylated (mw 20000) human sequence recombinant	146171409
414	kerosene	146171410
415	gasoline	146171411
416	tildrakizumab	146171412
417	peginterferon beta-1a	146171413
418	echinacea purpurea whole	146171414
419	interleukin-10	146171415
420	ferrous chloride	146171416
421	follitropin	146171417
422	betula pendula wood extract	146171418
423	thrombin human	146171419
424	barley	146171420
425	dimethicone 410	146171421
426	granulocytes	146171422
427	ligelizumab	146171423
428	influenza b virus b/massachusetts/2/2012 live (attenuated) antigen	146171424
429	turoctocog alfa pegol	146171425
430	phellinus linteus mycelium	146171426
431	baltaleucel-t	146171427
432	batroxobin	146171428
433	polyethylene glycol 400	146171429
434	coconut	146171430
435	panitumumab	146171431
436	bacopa monnieri whole	146171432
437	rasburicase	146171433
438	scutellaria lateriflora	146171434
439	buserelin	146171435
440	echinacea extract	146171436
441	opioid agonist	146171437
442	ferumoxsil	146171438
443	protein hydrolysate	146171439
444	beta vulgaris whole	146171440
445	fraxinus americana pollen	146171441
446	lanadelumab-flyo	146171442
447	homeopathics	146171443
448	grindelia hirsutula flowering top	146171444
449	albumin bovine	146171445
450	teprasiran	146171446
451	polyethylene glycol 3500	146171447
452	echinacea	146171448
453	parsley	146171449
454	natalizumab	146171450
455	savin	146171451
456	4-hydroxy-3-methoxybenzenesulfonic	146171452
457	rabies immune globulin (human)	146171453
458	thymocyte immune globulin nos	146171454
459	human hematopoietic progenitor cells	146171455
460	tafasitamab	146171456
461	streptococcus faecais	146171457
462	calcium polycarbophil	146171458
463	granulocyte-macrophage colony-stimulating factor	146171459
464	tribasic calcium phosphate	146171460
465	metylprednisolone	146171461
466	capreomycin sulfate	146171462
467	granulocyte colony-stimulating factor nos	146171463
468	 fish oil	146171464
469	powdered cellulose	146171465
470	diphtheria and tetanus toxoids adsorbed	146171466
471	vonicog alfa	146171467
472	tebentafusp	146171468
473	sar-439459	146171469
474	prabotulinumtoxina-xvfs	146171470
475	povidone k29/32	146171471
476	hypromellose 2208 (100 mpa.s)	146171472
477	sambucus nigra flowering top	146171473
478	rubella virus strain wistar ra 27/3 live antigen	146171474
479	acetic acid	146171475
480	influenza a virus a/perth/16/2009 (h3n2) live(attenuated) antigen	146171476
481	influenza a virus a/singapore/infimh-16-0019/2016 nib-104 (h3n2) antigen (formaldehyde inactivated)	146171477
482	mitiglinide	146171478
483	artemisia ludoviciana pollen	146171479
484	bergamot oil	146171480
485	technetium tc-99m arcitumomab	146171481
486	 polyethylene glycol 400	146171482
487	ringer^s solution	146171483
488	succinylated gelatin	146171484
489	red wine	146171485
490	dihydroxyaluminum sodium carbonate	146171486
491	bos taurus thymus	146171487
492	tilsotolimod sodium	146171488
493	ipecac	146171489
494	hyaluronidase	146171490
495	epoetin alfa-epbx	146171491
496	mumps virus strain b level jeryl lynn live antigen	146171492
497	technetium tc-99m red blood cells	146171493
498	samalizumab	146171494
499	laminaria japonica	146171495
500	agalsidase alfa	146171496
501	romosozumab	146171497
502	rituximab-abbs	146171498
503	sebelipase alfa	146171499
504	natural latex rubber	146171500
505	crangon shrimp	146171501
506	larrea tridentata top	146171502
507	aluminum zirconium tetrachlorohydrex gly	146171503
508	vespula pensylvanica venom protein	146171504
509	ocriplasmin	146171505
510	chaetomium glob	146171506
511	penicillium italicum	146171507
512	cochliobolus spicifer	146171508
513	lactase	146171509
514	influenza b virus b/phuket/3073/2013 recombinant hemagglutin	146171510
515	symphytum officinale whole	146171511
516	ginger	146171512
517	chloramine-t anhydrous	146171513
518	iboctadekin	146171514
519	depatuxizumab	146171515
520	rauwolfia	146171516
521	rumex crispus root	146171517
522	human immunoglobulin m	146171518
523	pork liver	146171519
524	glucosamine hydrochloride	146171520
525	poliovirus vaccine, inactivated	146171521
526	d+c yellow no. 8	146171522
527	influenza virus vaccine trivalent type a+b	146171523
528	teprotumumab-trbw	146171524
529	poa pratensis	146171525
530	citrus x paradisi	146171526
531	ramucirumab	146171527
532	ro-7082859	146171528
533	senna fruit extract	146171529
534	denosumab	146171530
535	poppy seed	146171531
536	influenza a virus a/singapore/infimh-16-0019/2016 ivr-186 (h3n2) antigen (uv, formaldehyde inactivated)	146171532
537	xanthium sibiricum root	146171533
538	clonostachys rosea f. rosea	146171534
539	vitis vinifera root	146171535
540	golimumab	146171536
541	turpentine	146171537
542	hamamelis virginiana root bark/stem bark	146171538
543	quercus virginiana pollen	146171539
544	romosozumab-aqqg	146171540
545	hyaluronidase-fihj	146171541
546	toxicodendron radicans leaf	146171542
547	phospholipid	146171543
548	triglycerides,unspecified length	146171544
549	rubia tincture	146171545
550	lysozyme hydrochloride	146171546
551	bos taurus gallstone	146171547
552	bifidobacterium animalis lactis	146171548
553	bos taurus hair	146171549
554	corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated)	146171550
555	urokinase	146171551
556	measles virus antigen	146171552
557	respiratory syncytial virus immune globulin intravenous (human)	146171553
558	unapproved	146171554
559	toripalimab	146171555
560	taliglucerase alfa	146171556
561	atropa belladonna	146171557
562	hyaluronidase (human recombinant)	146171558
563	idursulfase	146171559
564	propolis wax	146171560
565	conestat alfa	146171561
566	sodium phosphate, monobasic, monohydrate	146171562
567	felis catus hair	146171563
568	 lactobacillus plantarum	146171564
569	peppermint	146171565
570	bismuth tribromophenate	146171566
571	hirudin	146171567
572	impatiens glandulifera flower	146171568
573	mecasermin rinfabate	146171569
574	antithrombin iii human	146171570
575	selenicereus grandiflorus stem	146171571
576	trichophyton mentagrophytes	146171572
577	human immunoglobulin a	146171573
578	colchicum autumnale flower	146171574
579	poliovirus type 2 antigen (formaldehyde inactivated)	146171575
580	influenza a virus a/california/7/2009 x-179a (h1n1) hemagglutinin antigen (formaldehyde inactivated)	146171576
581	anas platyrhynchos feather	146171577
582	human papillomavirus type 16 l1 capsid protein residues 2-471 antigen	146171578
583	yttrium oxodotreotide y-90	146171579
584	cannabinoid, synthetic (nos)	146171580
585	wheat germ	146171581
586	influenza a virus a/singapore/infimh-16-0019/2016 (h3n2) recombinant hemagglutinin antigen	146171582
587	vitis vinifera seed	146171583
588	tremelimumab	146171584
589	haemophilus influenzae type b	146171585
590	hemp	146171586
591	cosmetics	146171587
592	matricaria chamomilla	146171588
593	hemin	146171589
594	equus caballus skin	146171590
595	carya illinoinensis pollen	146171591
596	salix nigra pollen	146171592
597	passiflora incarnata flowering top	146171593
598	eftozanermin alfa	146171594
599	equisetum arvense top	146171595
600	wheat gluten	146171596
601	heparin lithium	146171597
602	quercus macrocarpa pollen	146171598
603	boswellia serrata resin extract	146171599
604	bacillus calmette-guerin substrain connaught live antigen	146171600
605	tralokinumab	146171601
606	influenza a virus a/texas/50/2012 (h3n2) live (attenuated) antigen	146171602
607	fig fruit oil	146171603
608	cannabis sativa seed oil	146171604
609	plantago lanceolata leaf	146171605
610	influenza a virus a/switzerland/9715293/2013 nib-88 (h3n2) antigen (formaldehyde inactivated)	146171606
611	xanthan gum	146171607
612	ulmus crassifolia pollen	146171608
613	pepsin	146171609
614	citrus bioflavonoid complex	146171610
615	eculizumab	146171611
616	bordetella pertussis pertactin antigen	146171612
617	herbals	146171613
618	vaccinia virus strain new york city board of health live antigen	146171614
619	shark cartilage	146171615
620	human papillomavirus type 11 l1 capsid protein antigen	146171616
621	tolu balsam	146171617
622	human papillomavirus type 18 l1 capsid protein antigen	146171618
623	datura stramonium	146171619
624	saccharomyces cerevisiae	146171620
625	ichthammol	146171621
626	clostridium botulinum	146171622
627	dimethicone copolyol	146171623
628	eurotium amstelodami	146171624
629	pomegranate	146171625
630	melissa officinalis leaf	146171626
631	human blood cells	146171627
632	technetium tc-99m albumin aggregated	146171628
633	bimagrumab	146171629
634	vitis vinifera leaf	146171630
635	penicillium digitatum	146171631
636	infliximab	146171632
637	meningococcal group b vaccine	146171633
638	.alpha.-lipoic acid, (+/-)-	146171634
639	aminosalicylate calcium aluminium	146171635
640	1,2-dipalmitoyl-sn-glycero-3-phospho-(1^-rac-glycerol), sodium salt	146171636
641	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine adsorbed, tdap	146171637
642	measles virus strain enders^ attenuated edmonston live antigen	146171638
643	etanercept-szzs	146171639
644	imetelstat	146171640
645	yucca schidigera	146171641
646	flucloxacillin sodium anhydrous	146171642
647	corn oil	146171643
648	spartalizumab	146171644
649	ginseng extract	146171645
650	aflibercept	146171646
651	adalimumab	146171647
652	tomato	146171648
653	allergenic extract- tomato	146171649
654	fd+c red no. 40	146171650
655	primrose extract	146171651
656	colesevelam hydrochloride	146171652
657	hypromellose 2906 (4000 mpa.s)	146171653
658	tarextumab	146171654
659	influenza a virus a/victoria/210/2009 x-187 (h3n2) antigen (propiolactone inactivated)	146171655
660	polatuzumab vedotin	146171656
661	trastuzumab-pkrb	146171657
662	influenza b virus b/wisconsin/1/2010 recombinant hemagglutinin antigen	146171658
663	ipilimumab	146171659
664	squash	146171660
665	concord grape	146171661
666	flax seeds	146171662
667	fish oil, hydrogenated	146171663
668	fibrin sealant (human)	146171664
669	enoxaparin sodium	146171665
670	andexanet alfa	146171666
671	marsdenia condurango bark	146171667
672	piperazine	146171668
673	amaranthus spinosus pollen	146171669
674	poliovirus vaccine inactivated monkey kidney cell	146171670
675	anser anser feather	146171671
676	quinine benzoate	146171672
677	bacillus calmette-guerin substrain danish 1331 live antigen	146171673
678	necuparanib	146171674
679	northern white shrimp	146171675
680	wine	146171676
681	chromic chloride	146171677
682	iron isomaltoside 1000	146171678
683	influenza a virus a/california/7/2009(h1n1)-like antigen (formaldehyde inactivated)	146171679
684	sus scrofa placenta	146171680
685	human adenovirus b serotype 7 strain 55142	146171681
686	velaglucerase alfa	146171682
687	.alpha.-tocopherol, d-	146171683
688	soy sterol	146171684
689	pine needle oil (pinus mugo)	146171685
690	olea europaea leaf	146171686
691	attapulgite	146171687
692	camomile extract	146171688
693	cupric oxide	146171689
694	ublituximab	146171690
695	autologous cultured chondrocytes	146171691
696	piper methysticum root	146171692
697	lactobacillus plantarum	146171693
698	influenza b virus b/brisbane/60/2008 antigen (uv, formaldehyde inactivated)	146171694
699	brolucizumab	146171695
700	chondroitin sulfate (chicken)	146171696
701	orange	146171697
702	valerian	146171698
703	albumin (human)	146171699
704	abobotulinumtoxina	146171700
705	walnut oil	146171701
706	human herpesvirus 1, 1716 (icp 34.5 deletion)	146171702
707	galsulfase	146171703
708	influenza a virus a/kansas/14/2017 x-327 (h3n2) antigen (formaldehyde inactivated)	146171704
709	zolbetuximab	146171705
710	metreleptin	146171706
711	turpentine oil	146171707
712	human rotavirus a	146171708
713	hair keratin amino acids gold complex	146171709
714	epicoccum nig	146171710
715	green tea leaf	146171711
716	carboxypolymethylene	146171712
717	passiflora incarnata top	146171713
718	measles-mumps-rubella virus vaccine	146171714
719	allergen patch test	146171715
720	festuca pratensis	146171716
721	bassia scoparia pollen	146171717
722	enterococcus faecium	146171718
723	fagus grandifolia	146171719
724	benzalkonium chloride	146171720
725	grindelia hirsutula whole	146171721
726	human platelet, allogenic	146171722
727	zea mays pollen	146171723
728	haemophilus influenzae type b strain 20,752 capsular polysaccharide tetanus toxoid conjugate antigen	146171724
729	echinacea purpurea	146171725
730	cerliponase alfa	146171726
731	adenovirus vaccine	146171727
732	liquidambar styraciflua pollen	146171728
733	protein	146171729
734	influenza b virus b/brisbane/60/2008 recombinant hemagglutinin antigen	146171730
735	lobster, unspecified	146171731
736	anti-inhibitor coagulant complex	146171732
737	mint	146171733
738	hyaluronidase recombinant human	146171734
739	inclisiran	146171735
740	oatmeal	146171736
741	influenza b virus b/phuket/3073/2013 antigen (f	146171737
742	interleukin nos	146171738
743	pinus strobus pollen	146171739
744	stem cells	146171740
745	salvia pratensis leaf	146171741
746	northern brown shrimp	146171742
747	prothrombin	146171743
748	plasma protein fraction (human)	146171744
749	agalsidase beta	146171745
750	n-acetylglucosamine	146171746
751	gadolinium zeolite	146171747
752	etanercept	146171748
753	influenza b virus b/massachusetts/2/2012 antigen (formalde	146171749
754	hypromellose 2910 (3 mpa.s)	146171750
755	maitake	146171751
756	coxsackievirus a21	146171752
757	kidney bean	146171753
758	geotrichum candidum	146171754
759	pneumococcal 13-valent conjugate vaccine	146171755
760	brodalumab	146171756
761	emicizumab-kxwh	146171757
762	tirzepatide	146171758
763	coltuximab ravtansine	146171759
764	juniperus communis whole	146171760
765	safflower	146171761
766	ailanthus altissima pollen	146171762
767	indusatumab vedotin	146171763
768	typhoid vaccine antigens	146171764
769	 lactobacillus rhamnosus	146171765
770	horse chestnut	146171766
771	ephedra sinica stem	146171767
772	dextran 1	146171768
773	mag hydroxide	146171769
774	pelargonium sidoides root	146171770
775	camrelizumab	146171771
776	serplulimab	146171772
777	calcium magnesium carbonate	146171773
778	 lysozyme hydrochloride	146171774
779	fibrinolysin	146171775
780	ustekinumab	146171776
781	camphor (natural)	146171777
782	pegbelfermin	146171778
783	keratin	146171779
784	interferon alfa-2a	146171780
785	adhesive tape	146171781
786	clove oil	146171782
787	fianlimab	146171783
788	pinus monticola pollen	146171784
789	coffea arabica fruit	146171785
790	phosphatidyl s	146171786
791	dolichovespula maculata venom protein	146171787
792	carbo animalis	146171788
793	artemisia vulgaris pollen	146171789
794	myeloperoxidase	146171790
795	proteus mirabilis	146171791
796	fagus grandifolia pollen	146171792
797	balsam peru oil	146171793
798	coagulation factor x human	146171794
799	antacids nos	146171795
800	hypromellose 2910 (15 mpa.s)	146171796
801	lactobacillus reuteri	146171797
802	allergenic extract- mold	146171798
803	plantago major leaf	146171799
804	lycopodium clavatum spore	146171800
805	hiltonol	146171801
806	pridinol mesilate	146171802
807	teriparatide acetate	146171803
808	kallikrein	146171804
809	human rotavirus a type g1p7(5) strain wi79 live antigen	146171805
810	oenothera biennis	146171806
811	cibisatamab	146171807
812	coconut oil	146171808
813	bilberry	146171809
