	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
30	40225727	tall oat grass pollen extract	Drug	RxNorm	Ingredient	S	1006506	20100905	20991231	
31	40224712	barley malt allergenic extract	Drug	RxNorm	Ingredient	S	1006510	20100905	20991231	
32	40224770	eprinomectin	Drug	RxNorm	Ingredient	S	1006619	20100905	20991231	
33	40224195	amprolium	Drug	RxNorm	Ingredient	S	1006654	20100905	20991231	
34	19000812	stigmasterol	Drug	RxNorm	Ingredient	S	10079	20051113	20991231	
35	1436169	antithrombin III	Drug	RxNorm	Ingredient	S	1009	19700101	20991231	
36	40226753	oxibendazole	Drug	RxNorm	Ingredient	S	1009342	20101003	20991231	
37	40227434	wasabi preparation	Drug	RxNorm	Ingredient	S	1009447	20101003	20991231	
38	40226473	coffee fruit preparation	Drug	RxNorm	Ingredient	S	1009451	20101003	20991231	
39	40227384	sulphur	Drug	RxNorm	Ingredient		1009468	20101003	20110605	U
40	19000813	Enterococcus faecalis	Drug	RxNorm	Ingredient	S	10098	19700101	20991231	
41	19136184	streptodornase	Drug	RxNorm	Ingredient	S	10104	19700101	20991231	
42	19136187	streptokinase	Drug	RxNorm	Ingredient	S	10106	19700101	20991231	
43	40226409	bay leaf allergenic extract	Drug	RxNorm	Ingredient	S	1010879	20101003	20991231	
44	1836191	streptomycin	Drug	RxNorm	Ingredient	S	10109	19700101	20991231	
45	40226521	chocolate allergenic extract	Drug	RxNorm	Ingredient	S	1010915	20101003	20991231	
46	40226721	kiwi fruit allergenic extract	Drug	RxNorm	Ingredient	S	1010926	20101003	20991231	
47	40226762	leek allergenic extract	Drug	RxNorm	Ingredient	S	1010932	20101003	20991231	
48	40226650	licorice allergenic extract	Drug	RxNorm	Ingredient	S	1010954	20101003	20991231	
49	40226747	oregano allergenic extract	Drug	RxNorm	Ingredient	S	1010965	20101003	20991231	
50	40226696	peppermint allergenic extract	Drug	RxNorm	Ingredient	S	1010971	20101003	20991231	
51	40226707	nectarine allergenic extract	Drug	RxNorm	Ingredient	S	1010999	20101003	20991231	
52	19136207	lymphocyte immune globulin, anti-thymocyte globulin	Drug	RxNorm	Ingredient	S	1011	19700101	20991231	
53	40226665	poppy seed allergenic extract	Drug	RxNorm	Ingredient	S	1011017	20101003	20991231	
54	40226736	okra allergenic extract	Drug	RxNorm	Ingredient	S	1011021	20101003	20991231	
55	40226681	parsnip allergenic extract	Drug	RxNorm	Ingredient	S	1011027	20101003	20991231	
56	40227367	rhubarb allergenic extract	Drug	RxNorm	Ingredient	S	1011033	20101003	20991231	
57	40226622	horseradish allergenic extract	Drug	RxNorm	Ingredient	S	1011043	20101003	20991231	
58	40226438	chickpea allergenic extract	Drug	RxNorm	Ingredient	S	1011049	20101003	20991231	
59	40226656	lime allergenic extract	Drug	RxNorm	Ingredient	S	1011060	20101003	20991231	
60	40226690	macadamia nut allergenic extract	Drug	RxNorm	Ingredient	S	1011066	20101003	20991231	
61	19136210	streptozocin	Drug	RxNorm	Ingredient	S	10114	19700101	20991231	
62	40226715	mango allergenic extract	Drug	RxNorm	Ingredient	S	1011404	20101003	20991231	
63	40227386	tangerine allergenic extract	Drug	RxNorm	Ingredient	S	1011412	20101003	20991231	
64	40227438	watercress allergenic extract	Drug	RxNorm	Ingredient	S	1011418	20101003	20991231	
65	40226671	papaya allergenic extract	Drug	RxNorm	Ingredient	S	1011426	20101003	20991231	
66	40226492	didecyldimethylammonium chloride	Drug	RxNorm	Ingredient	S	1011450	20101003	20991231	
67	40227394	sage leaf allergenic extract	Drug	RxNorm	Ingredient	S	1011627	20101003	20991231	
68	40227488	white pepper allergenic extract	Drug	RxNorm	Ingredient	S	1011633	20101003	20991231	
69	40226208	pegloticase	Drug	RxNorm	Ingredient	S	1011650	20101003	20991231	
70	40227400	veal allergenic extract	Drug	RxNorm	Ingredient	S	1012026	20101003	20991231	
71	40227359	sour cherry allergenic extract	Drug	RxNorm	Ingredient	S	1012134	20101003	20991231	
72	40227472	wheat bran allergenic extract	Drug	RxNorm	Ingredient	S	1012140	20101003	20991231	
73	40227484	white kidney bean allergenic extract	Drug	RxNorm	Ingredient	S	1012179	20101003	20991231	
74	40227355	red kidney bean allergenic extract	Drug	RxNorm	Ingredient	S	1012183	20101003	20991231	
75	40226703	navy kidney bean allergenic extract	Drug	RxNorm	Ingredient	S	1012190	20101003	20991231	
76	19000815	strontium	Drug	RxNorm	Ingredient	S	10122	20090503	20991231	
77	40226727	melarsomine	Drug	RxNorm	Ingredient	S	1012534	20101003	20991231	
78	42903419	Asarum europaeum extract	Drug	RxNorm	Ingredient	S	1012890	20121203	20991231	
79	40226579	fingolimod	Drug	RxNorm	Ingredient	S	1012892	20101003	20991231	
80	40228735	scrub pine pollen extract	Drug	RxNorm	Ingredient	S	1013913	20101031	20991231	
81	40228759	water oak pollen extract	Drug	RxNorm	Ingredient	S	1013944	20101031	20991231	
82	40228194	cedar elm pollen extract	Drug	RxNorm	Ingredient	S	1014191	20101031	20991231	
83	40228445	Italian rye grass pollen extract	Drug	RxNorm	Ingredient	S	1014340	20101031	20991231	
84	40228312	longleaf pine pollen extract	Drug	RxNorm	Ingredient	S	1014360	20101031	20991231	
85	40227684	Bermuda grass smut allergenic extract	Drug	RxNorm	Ingredient	S	1014385	20101031	20991231	
86	40228383	Humicola grisea allergenic extract	Drug	RxNorm	Ingredient	S	1014391	20101031	20991231	
87	40228508	Microsporum audouinii allergenic extract	Drug	RxNorm	Ingredient	S	1014395	20101031	20991231	
88	40228512	microsporum canis allergenic extract	Drug	RxNorm	Ingredient	S	1014399	20101031	20991231	
89	40228782	yellow sweet clover pollen extract	Drug	RxNorm	Ingredient	S	1014447	20101031	20991231	
90	40228279	jack pine pollen extract	Drug	RxNorm	Ingredient	S	1014690	20101031	20991231	
91	40228820	redwood pollen extract	Drug	RxNorm	Ingredient	S	1014707	20101031	20991231	
92	40228827	sugarcane allergenic extract	Drug	RxNorm	Ingredient	S	1014711	20101031	20991231	
93	40227749	California black oak pollen extract	Drug	RxNorm	Ingredient	S	1014721	20101031	20991231	
94	40228237	burr oak pollen extract	Drug	RxNorm	Ingredient		1014727	20101031	20120604	U
95	40227802	Canadian bluegrass pollen extract	Drug	RxNorm	Ingredient	S	1014731	20101031	20991231	
96	40228755	white sweet clover pollen extract	Drug	RxNorm	Ingredient	S	1014735	20101031	20991231	
97	40228117	bitter dock pollen extract	Drug	RxNorm	Ingredient	S	1014739	20101031	20991231	
98	40228792	white (mexican) dock pollen extract	Drug	RxNorm	Ingredient	S	1014743	20101031	20991231	
99	40227558	Lichtheimia ramosa extract	Drug	RxNorm	Ingredient	S	1014749	20101031	20991231	
100	40228767	western black willow pollen extract	Drug	RxNorm	Ingredient	S	1014755	20101031	20991231	
101	40228108	balsam poplar pollen extract	Drug	RxNorm	Ingredient	S	1014762	20101031	20991231	
102	40228461	Jerusalem oak pollen extract	Drug	RxNorm	Ingredient	S	1014766	20101031	20991231	
103	40228147	cultivated rye grass pollen extract	Drug	RxNorm	Ingredient	S	1014774	20101031	20991231	
104	836208	succinylcholine	Drug	RxNorm	Ingredient	S	10154	19700101	20991231	
105	1036228	sucralfate	Drug	RxNorm	Ingredient	S	10156	19700101	20991231	
106	19136247	sucrose	Drug	RxNorm	Ingredient	S	10159	19700101	20991231	
107	1836241	sulbactam	Drug	RxNorm	Ingredient	S	10167	19700101	20991231	
108	19000817	sulbenicillin	Drug	RxNorm	Ingredient	S	10168	19700101	20991231	
109	1036252	sulfacetamide	Drug	RxNorm	Ingredient	S	10169	19700101	20991231	
110	1836391	sulfadiazine	Drug	RxNorm	Ingredient	S	10171	19700101	20991231	
111	19000818	sulfadimethoxine	Drug	RxNorm	Ingredient	S	10172	19700101	20991231	
112	1836410	sulfadoxine	Drug	RxNorm	Ingredient	S	10173	19700101	20991231	
113	19000819	sulfaguanidine	Drug	RxNorm	Ingredient	S	10174	19700101	20991231	
114	19136423	sulfalene	Drug	RxNorm	Ingredient	S	10175	19700101	20991231	
115	19136426	sulfamerazine	Drug	RxNorm	Ingredient	S	10176	19700101	20991231	
116	19136429	sulfamethazine	Drug	RxNorm	Ingredient	S	10178	19700101	20991231	
117	1036425	sulfamethizole	Drug	RxNorm	Ingredient	S	10179	19700101	20991231	
118	1836430	sulfamethoxazole	Drug	RxNorm	Ingredient	S	10180	19700101	20991231	
119	19000820	sulfamethoxypyridazine	Drug	RxNorm	Ingredient	S	10181	19700101	20991231	
120	19136481	sulfamoxole	Drug	RxNorm	Ingredient	S	10183	19700101	20991231	
121	1036475	sulfanilamide	Drug	RxNorm	Ingredient	S	10184	19700101	20991231	
122	19136493	sulfapyridine	Drug	RxNorm	Ingredient	S	10188	19700101	20991231	
123	1036487	sulfathiazole	Drug	RxNorm	Ingredient	S	10193	19700101	20991231	
124	1236493	sulfinpyrazone	Drug	RxNorm	Ingredient	S	10205	19700101	20991231	
125	19000821	sulfisomidine	Drug	RxNorm	Ingredient	S	10206	19700101	20991231	
126	1836503	sulfisoxazole	Drug	RxNorm	Ingredient	S	10207	19700101	20991231	
127	19000826	sulfobromophthalein	Drug	RxNorm	Ingredient	S	10212	19700101	20991231	
128	1036525	sulfur	Drug	RxNorm	Ingredient	S	10223	19700101	20991231	
129	1036600	sulfuric acid	Drug	RxNorm	Ingredient	S	10231	19700101	20991231	
130	1236607	sulindac	Drug	RxNorm	Ingredient	S	10237	19700101	20991231	
131	19136626	sulpiride	Drug	RxNorm	Ingredient	S	10239	19700101	20991231	
132	19000921	sulthiame	Drug	RxNorm	Ingredient	S	10240	19700101	20991231	
133	19136642	superoxide dismutase	Drug	RxNorm	Ingredient	S	10245	19700101	20991231	
134	1036636	suprofen	Drug	RxNorm	Ingredient	S	10255	19700101	20991231	
135	19136651	suramin	Drug	RxNorm	Ingredient	S	10256	19700101	20991231	
136	19001345	calcium sulfaloxate	Drug	RxNorm	Ingredient	S	102792	19700101	20991231	
137	19001409	glibornuride	Drug	RxNorm	Ingredient	S	102846	19700101	20991231	
138	19001441	glymidine	Drug	RxNorm	Ingredient	S	102848	19700101	20991231	
139	19001477	synephrine	Drug	RxNorm	Ingredient	S	10288	19700101	20991231	
140	19136654	apazone	Drug	RxNorm	Ingredient	S	1029	19700101	20991231	
141	19001758	Corynebacterium parvum vaccine	Drug	RxNorm	Ingredient		102971	19700101	20160501	D
142	1436650	mercaptopurine	Drug	RxNorm	Ingredient	S	103	19700101	20991231	
143	836654	tacrine	Drug	RxNorm	Ingredient	S	10318	19700101	20991231	
144	19002077	talampicillin	Drug	RxNorm	Ingredient	S	10322	19700101	20991231	
145	1036667	talc	Drug	RxNorm	Ingredient	S	10323	19700101	20991231	
146	1436678	tamoxifen	Drug	RxNorm	Ingredient	S	10324	19700101	20991231	
147	1036690	tannic acid	Drug	RxNorm	Ingredient	S	10328	19700101	20991231	
148	19136716	taurine	Drug	RxNorm	Ingredient	S	10337	19700101	20991231	
149	836715	temazepam	Drug	RxNorm	Ingredient	S	10355	19700101	20991231	
150	19136750	teniposide	Drug	RxNorm	Ingredient	S	10362	19700101	20991231	
151	1236744	terbutaline	Drug	RxNorm	Ingredient	S	10368	19700101	20991231	
152	40228152	dabigatran etexilate	Drug	RxNorm	Ingredient	S	1037042	20101031	20991231	
153	1436776	testolactone	Drug	RxNorm	Ingredient	S	10378	19700101	20991231	
154	1636780	testosterone	Drug	RxNorm	Ingredient	S	10379	19700101	20991231	
155	40086925	Tetanus Toxoid	Drug	RxNorm	Ingredient		10387	19700101	20081116	U
156	836877	tetrabenazine	Drug	RxNorm	Ingredient	S	10390	19700101	20991231	
157	40230159	corn starch	Drug	RxNorm	Ingredient	S	1039062	20101205	20991231	
158	1036884	tetracaine	Drug	RxNorm	Ingredient	S	10391	19700101	20991231	
159	1836948	tetracycline	Drug	RxNorm	Ingredient	S	10395	19700101	20991231	
160	46274210	ceftaroline fosamil	Drug	RxNorm	Ingredient	S	1040004	20150908	20991231	
161	40230597	ceftaroline	Drug	RxNorm	Ingredient	S	1040005	20101205	20991231	
162	40230761	lurasidone	Drug	RxNorm	Ingredient	S	1040028	20101205	20991231	
163	1037005	dronabinol	Drug	RxNorm	Ingredient	S	10402	19700101	20991231	
164	1037015	bran	Drug	RxNorm	Ingredient	S	104125	19700101	20991231	
165	19137031	ispaghula husk	Drug	RxNorm	Ingredient	S	104129	19700101	20991231	
166	837027	apomorphine	Drug	RxNorm	Ingredient	S	1043	19700101	20991231	
167	40230797	ellagic acid	Drug	RxNorm	Ingredient	S	1043181	20101205	20991231	
168	19137042	thalidomide	Drug	RxNorm	Ingredient	S	10432	19700101	20991231	
169	40230721	phytase	Drug	RxNorm	Ingredient	S	1043631	20101205	20991231	
170	19137056	theobromine	Drug	RxNorm	Ingredient	S	10437	19700101	20991231	
171	1237049	theophylline	Drug	RxNorm	Ingredient	S	10438	19700101	20991231	
172	40231617	selamectin	Drug	RxNorm	Ingredient	S	1044269	20101205	20991231	
173	40231628	tesamorelin	Drug	RxNorm	Ingredient	S	1044584	20101205	20991231	
174	19004049	nicofuranose	Drug	RxNorm	Ingredient	S	104486	19700101	20991231	
175	40231471	nicotinamide adenine dinucleotide (NAD)	Drug	RxNorm	Ingredient	S	1044975	20101205	20991231	
176	40231459	panthenol	Drug	RxNorm	Ingredient	S	1044977	20101205	20991231	
177	1837289	thiabendazole	Drug	RxNorm	Ingredient	S	10450	19700101	20991231	
178	19137312	thiamine	Drug	RxNorm	Ingredient	S	10454	19700101	20991231	
179	40230712	eribulin	Drug	RxNorm	Ingredient	S	1045453	20101205	20991231	
180	19137362	thiamphenicol	Drug	RxNorm	Ingredient	S	10463	19700101	20991231	
181	19004295	thiamylal	Drug	RxNorm	Ingredient	S	10464	19700101	20991231	
182	40231415	moxidectin	Drug	RxNorm	Ingredient	S	1047072	20101205	20991231	
183	1037358	thiethylperazine	Drug	RxNorm	Ingredient	S	10471	19700101	20991231	
184	19137377	thimerosal	Drug	RxNorm	Ingredient	S	10472	19700101	20991231	
185	19137385	thiotepa	Drug	RxNorm	Ingredient	S	10473	19700101	20991231	
186	1437379	thioguanine	Drug	RxNorm	Ingredient	S	10485	19700101	20991231	
187	700253	thiopental	Drug	RxNorm	Ingredient	S	10493	19700101	20991231	
188	19000305	thioproperazine	Drug	RxNorm	Ingredient	S	10498	19700101	20991231	
189	700299	thioridazine	Drug	RxNorm	Ingredient	S	10502	19700101	20991231	
190	700465	thiothixene	Drug	RxNorm	Ingredient	S	10510	19700101	20991231	
191	19006467	thiram	Drug	RxNorm	Ingredient	S	10517	19700101	20991231	
192	19000537	threonine	Drug	RxNorm	Ingredient	S	10524	19700101	20991231	
193	1300673	thrombin	Drug	RxNorm	Ingredient	S	10528	19700101	20991231	
194	19006969	aprindine	Drug	RxNorm	Ingredient	S	1054	19700101	20991231	
195	19000726	thymol	Drug	RxNorm	Ingredient	S	10553	19700101	20991231	
196	19000729	aprotinin	Drug	RxNorm	Ingredient	S	1056	19700101	20991231	
197	19007422	moxisylyte	Drug	RxNorm	Ingredient	S	10561	19700101	20991231	
198	19007429	thymus extracts	Drug	RxNorm	Ingredient	S	10562	20090531	20991231	
199	19000732	thyroglobulin	Drug	RxNorm	Ingredient	S	10565	19700101	20991231	
200	19000753	ferrous glycine sulfate	Drug	RxNorm	Ingredient	S	105655	19700101	20991231	
201	1300751	polysaccharide iron complex	Drug	RxNorm	Ingredient	S	105669	19700101	20991231	
202	19001131	sodium ironedetate	Drug	RxNorm	Ingredient	S	105673	19700101	20991231	
203	1301125	epoetin alfa	Drug	RxNorm	Ingredient	S	105694	19700101	20991231	
204	19001311	epoetin beta	Drug	RxNorm	Ingredient	S	105695	19700101	20991231	
205	1501309	thyroid (USP)	Drug	RxNorm	Ingredient	S	10572	19700101	20991231	
206	19007721	thyrotropin	Drug	RxNorm	Ingredient	S	10579	19700101	20991231	
207	19001701	thyrotropin-releasing hormone	Drug	RxNorm	Ingredient	S	10580	19700101	20991231	
208	1501700	levothyroxine	Drug	RxNorm	Ingredient	S	10582	19700101	20991231	
209	19008012	tiapride	Drug	RxNorm	Ingredient	S	10588	19700101	20991231	
210	1702364	ticarcillin	Drug	RxNorm	Ingredient	S	10591	19700101	20991231	
211	1302398	ticlopidine	Drug	RxNorm	Ingredient	S	10594	19700101	20991231	
212	19002431	tilidine	Drug	RxNorm	Ingredient	S	10597	19700101	20991231	
213	902427	timolol	Drug	RxNorm	Ingredient	S	10600	19700101	20991231	
214	19008281	tin	Drug	RxNorm	Ingredient	S	10603	19700101	20991231	
215	1702559	tinidazole	Drug	RxNorm	Ingredient	S	10612	19700101	20991231	
216	902616	calamine	Drug	RxNorm	Ingredient	S	106212	19700101	20991231	
217	902722	tobramycin	Drug	RxNorm	Ingredient	S	10627	19700101	20991231	
218	1502809	tolazamide	Drug	RxNorm	Ingredient	S	10633	19700101	20991231	
219	19002829	tolazoline	Drug	RxNorm	Ingredient	S	10634	19700101	20991231	
220	1502855	tolbutamide	Drug	RxNorm	Ingredient	S	10635	19700101	20991231	
221	1102917	tolmetin	Drug	RxNorm	Ingredient	S	10636	19700101	20991231	
222	902950	tolnaftate	Drug	RxNorm	Ingredient	S	10637	19700101	20991231	
223	19008782	tolonium chloride	Drug	RxNorm	Ingredient	S	10638	19700101	20991231	
224	19003296	tolperisone	Drug	RxNorm	Ingredient	S	10639	19700101	20991231	
225	19008972	Pneumococcal vaccine	Drug	RxNorm	Ingredient		106467	19700101	20160501	D
226	19008973	Human immunoglobulin	Drug	RxNorm	Ingredient		106470	19700101	20160311	D
227	19009157	Intermediate factor VIII	Drug	RxNorm	Ingredient		106648	19700101	20160501	D
228	1103314	tramadol	Drug	RxNorm	Ingredient	S	10689	19700101	20991231	
229	1303425	tranexamic acid	Drug	RxNorm	Ingredient	S	10691	19700101	20991231	
230	19009458	Pork calcitonin	Drug	RxNorm	Ingredient		107018	19700101	20160501	D
231	19003476	Horse antihuman thymocyte gamma globulin	Drug	RxNorm	Ingredient		107051	19700101	20200503	D
232	19009557	ferrous phosphate	Drug	RxNorm	Ingredient	S	107056	19700101	20991231	
233	19009558	Perfluorochemical	Drug	RxNorm	Ingredient		107060	19700101	20160501	D
234	703470	tranylcypromine	Drug	RxNorm	Ingredient	S	10734	19700101	20991231	
235	19009721	trapidil	Drug	RxNorm	Ingredient	S	10735	19700101	20991231	
236	703547	trazodone	Drug	RxNorm	Ingredient	S	10737	19700101	20991231	
237	903643	tretinoin	Drug	RxNorm	Ingredient	S	10753	19700101	20991231	
238	19003914	triacetin	Drug	RxNorm	Ingredient	S	10756	19700101	20991231	
239	19009790	triacetoneamine-N-oxyl	Drug	RxNorm	Ingredient	S	10757	20050911	20991231	
240	903963	triamcinolone	Drug	RxNorm	Ingredient	S	10759	19700101	20991231	
241	904542	triamterene	Drug	RxNorm	Ingredient	S	10763	19700101	20991231	
242	704599	triazolam	Drug	RxNorm	Ingredient	S	10767	19700101	20991231	
243	904639	trichlormethiazide	Drug	RxNorm	Ingredient	S	10772	19700101	20991231	
244	904704	mepenzolate	Drug	RxNorm	Ingredient	S	107770	19700101	20991231	
245	19004718	demecarium	Drug	RxNorm	Ingredient	S	107771	19700101	20991231	
246	19004764	colfosceril	Drug	RxNorm	Ingredient	S	107784	19700101	20991231	
247	19009915	Trichophyton mentagrophytes	Drug	RxNorm	Ingredient		10786	19700101	20101031	U
248	1704758	triclosan	Drug	RxNorm	Ingredient	S	10795	19700101	20991231	
249	19004969	trientine	Drug	RxNorm	Ingredient	S	10798	19700101	20991231	
250	704984	trifluoperazine	Drug	RxNorm	Ingredient	S	10800	19700101	20991231	
251	905078	trifluridine	Drug	RxNorm	Ingredient	S	10803	19700101	20991231	
252	19005101	trifluperidol	Drug	RxNorm	Ingredient	S	10804	19700101	20991231	
253	19005104	triflupromazine	Drug	RxNorm	Ingredient	S	10805	19700101	20991231	
254	19005129	clobetasone	Drug	RxNorm	Ingredient	S	108074	19700101	20991231	
255	905151	alclometasone	Drug	RxNorm	Ingredient	S	108088	19700101	20991231	
256	19009949	fluclorolone	Drug	RxNorm	Ingredient	S	108091	19700101	20991231	
257	705178	trihexyphenidyl	Drug	RxNorm	Ingredient	S	10811	19700101	20991231	
258	905233	mometasone	Drug	RxNorm	Ingredient	S	108118	19700101	20991231	
259	1505346	liothyronine	Drug	RxNorm	Ingredient	S	10814	19700101	20991231	
260	19005512	trimebutine	Drug	RxNorm	Ingredient	S	10819	19700101	20991231	
261	905531	metipranolol	Drug	RxNorm	Ingredient	S	10824	19700101	20991231	
262	19005570	trimeprazine	Drug	RxNorm	Ingredient	S	10825	19700101	20991231	
263	19005626	trimetazidine	Drug	RxNorm	Ingredient	S	10826	19700101	20991231	
264	19005629	trimethadione	Drug	RxNorm	Ingredient	S	10827	19700101	20991231	
265	19005658	trimethaphan	Drug	RxNorm	Ingredient	S	10828	19700101	20991231	
266	1705674	trimethoprim	Drug	RxNorm	Ingredient	S	10829	19700101	20991231	
267	705755	trimipramine	Drug	RxNorm	Ingredient	S	10834	19700101	20991231	
268	905829	trioxsalen	Drug	RxNorm	Ingredient	S	10844	19700101	20991231	
269	1105853	tripelennamine	Drug	RxNorm	Ingredient	S	10847	19700101	20991231	
270	1105889	triprolidine	Drug	RxNorm	Ingredient	S	10849	19700101	20991231	
271	19010296	Meningitis vaccine	Drug	RxNorm	Ingredient		108542	19700101	20190505	D
272	40234201	butylscopolamine	Drug	RxNorm	Ingredient	S	1085787	20110206	20991231	
273	40234351	polysulfated glycosaminoglycan	Drug	RxNorm	Ingredient	S	1085955	20110206	20991231	
274	19006043	troleandomycin	Drug	RxNorm	Ingredient	S	10864	19700101	20991231	
275	19006047	tromethamine	Drug	RxNorm	Ingredient	S	10865	19700101	20991231	
276	40234834	vilazodone	Drug	RxNorm	Ingredient	S	1086769	20110206	20991231	
277	906072	tropicamide	Drug	RxNorm	Ingredient	S	10869	19700101	20991231	
278	19006155	trypan blue	Drug	RxNorm	Ingredient	S	10878	20051113	20991231	
279	40235242	6-O-palmitoylascorbic acid	Drug	RxNorm	Ingredient	S	1088438	20110306	20991231	
280	40236567	pregna-4,17-diene-3,16-dione	Drug	RxNorm	Ingredient	S	1088591	20110306	20991231	
281	906149	trypsin	Drug	RxNorm	Ingredient	S	10890	19700101	20991231	
282	19006186	tryptophan	Drug	RxNorm	Ingredient	S	10898	19700101	20991231	
283	19010871	tuberculin	Drug	RxNorm	Ingredient	S	10908	19700101	20991231	
284	19006410	arginine	Drug	RxNorm	Ingredient	S	1091	19700101	20991231	
285	40235485	azilsartan	Drug	RxNorm	Ingredient	S	1091643	20110306	20991231	
286	706644	tubocurarine	Drug	RxNorm	Ingredient	S	10917	19700101	20991231	
287	40236897	roflumilast	Drug	RxNorm	Ingredient	S	1091836	20110403	20991231	
288	40237343	romifidine	Drug	RxNorm	Ingredient	S	1091919	20110403	20991231	
289	40236987	belimumab	Drug	RxNorm	Ingredient	S	1092437	20110403	20991231	
290	1106647	turpentine	Drug	RxNorm	Ingredient	S	10938	19700101	20991231	
291	40237042	dodecylbenzenesulfonic acid	Drug	RxNorm	Ingredient	S	1094060	20110403	20991231	
292	40236995	creeping bentgrass pollen extract	Drug	RxNorm	Ingredient	S	1094116	20110403	20991231	
293	40236978	broomweed pollen extract	Drug	RxNorm	Ingredient	S	1094193	20110403	20991231	
294	40238188	ipilimumab	Drug	RxNorm	Ingredient	S	1094833	20110501	20991231	
295	19010872	Vaccines, Typhoid	Drug	RxNorm	Ingredient		10953	19700101	20160501	D
296	19010873	tyramine	Drug	RxNorm	Ingredient	S	10958	19700101	20991231	
297	19006659	tyropanoate	Drug	RxNorm	Ingredient	S	10960	19700101	20991231	
298	19006692	tyrosine	Drug	RxNorm	Ingredient	S	10962	19700101	20991231	
299	19006842	tyrothricin	Drug	RxNorm	Ingredient	S	10968	19700101	20991231	
300	1306837	Ubiquinone	Drug	RxNorm	Ingredient		10975	19700101	20200503	U
301	19006871	argipressin	Drug	RxNorm	Ingredient	S	1098	19700101	20991231	
302	40238082	cultivated barley pollen extract	Drug	RxNorm	Ingredient	S	1098118	20110501	20991231	
303	40238197	narrowleaf marshelder pollen extract	Drug	RxNorm	Ingredient	S	1098130	20110501	20991231	
304	40238211	largemouth bass allergenic extract	Drug	RxNorm	Ingredient	S	1098183	20110501	20991231	
305	40238149	osage orange pollen extract	Drug	RxNorm	Ingredient	S	1098189	20110501	20991231	
