	mab	CID
175	pepinemab	146172167
176	pertuzumab	146171030
177	pidilizumab	146172642
178	polatuzumab vedotin	146172499
179	polatuzumab vedotin-piiq	146171904
180	ramucirumab	146172798
181	ranibizumab	146172297
182	ravulizumab	146173110
183	ravulizumab-cwvz	146171556
184	raxibacumab	146173071
185	relatlimab	146172422
186	reslizumab	146172581
187	rilotumumab	146172235
188	rimabotulinumtoxinb	146172932
189	rinucumab	146172535
190	risankizumab	146171482
191	risankizumab-rzaa	146171965
192	rituximab	146171364
193	rituximab-abbs	146171461
194	rituximab-pvvr	146171427
195	romilkimab	146172124
196	romosozumab	146172781
197	romosozumab-aqqg	146171761
198	samalizumab	146173012
199	sarilumab	146171567
200	sasanlimab	146171765
201	secukinumab	146172574
202	selicrelumab	146172503
203	seribantumab	146172482
204	serplulimab	146171991
205	siltuximab	146171348
206	simtuzumab	146171531
207	sintilimab	146171795
208	sirukumab	146172811
209	solanezumab	146171146
210	spartalizumab	146172845
211	sutimlimab	146171963
212	tabalumab	146172142
213	tafasitamab	146172014
214	tanezumab	146172155
215	tarextumab	146171774
216	tavolixizumab	146173028
217	technetium tc-99m arcitumomab	146171773
218	teclistamab	146172409
219	telisotuzumab vedotin	146172739
220	teprotumumab	146171529
221	teprotumumab-trbw	146172904
222	tesidolumab	146172557
223	tezepelumab	146172883
224	tildrakizumab	146172269
225	tildrakizumab-asmn	146172438
226	tiragolumab	146172082
227	tislelizumab	146172522
228	tocilizumab	146173002
229	toripalimab	146172714
230	tositumomab	146173066
231	tositumomab i-131	146171540
232	tralokinumab	146172254
233	trastuzumab	146171333
234	trastuzumab and hyaluronidase-oysk	146172915
235	trastuzumab deruxtecan	146172917
236	trastuzumab duocarmazine	146172350
237	trastuzumab-anns	146171253
238	trastuzumab-dkst	146172839
239	trastuzumab-dttb	146172675
240	trastuzumab-pkrb	146171201
241	trastuzumab-qyyp	146172860
242	tremelimumab	146171893
243	ublituximab	146171558
244	ulocuplumab	146171310
245	urelumab	146171772
246	ustekinumab	146171964
247	utomilumab	146172341
248	vantictumab	146172166
249	vanucizumab	146173083
250	varlilumab	146171153
251	vedolizumab	146171408
252	vopratelimab	146172532
253	yttrium y-90 clivatuzumab tetraxetan	146172609
254	yttrium y-90 ibritumomab tiuxetan	146172262
255	zanolimumab	146171704
256	zolbetuximab	146171148
